County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Fannin,2020-03-30 19:07:00,0.0,0.0,12.0,0.0,0.001,0.00012,25964.0,3.0,0.0,13111.0
Towns,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,11852.0,0.0,0.0,13281.0
Hall,2020-03-30 19:07:00,0.0,0.0,17.0,0.0,0.0112,0.00017,202148.0,34.0,0.0,13139.0
Habersham,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,45388.0,0.0,0.0,13137.0
Gwinnett,2020-03-30 19:07:00,1.0,0.0,19.0,0.0112,0.0587,0.00019,927781.0,178.0,2.0,13135.0
Grady,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,24748.0,0.0,0.0,13131.0
Gordon,2020-03-30 19:07:00,7.0,2.0,26.0,0.0667,0.0049,0.00026000000000000003,57685.0,15.0,1.0,13129.0
Coweta,2020-03-30 19:07:00,5.0,1.0,25.0,0.0541,0.0122,0.00025,145864.0,37.0,2.0,13077.0
Glynn,2020-03-30 19:07:00,0.0,0.0,20.0,0.0,0.0056,0.0002,85219.0,17.0,0.0,13127.0
Gilmer,2020-03-30 19:07:00,0.0,0.0,3.0,0.0,0.0003,3e-05,30816.0,1.0,0.0,13123.0
Fulton,2020-03-30 19:07:00,3.0,2.0,48.0,0.0318,0.1659,0.00048,1050114.0,503.0,16.0,13121.0
Franklin,2020-03-30 19:07:00,0.0,0.0,17.0,0.0,0.0013,0.00017,23023.0,4.0,0.0,13119.0
Forsyth,2020-03-30 19:07:00,3.0,0.0,15.0,0.0278,0.0119,0.00015,236612.0,36.0,1.0,13117.0
Floyd,2020-03-30 19:07:00,6.0,2.0,32.0,0.0645,0.0102,0.00032,97927.0,31.0,2.0,13115.0
Fayette,2020-03-30 19:07:00,7.0,3.0,37.0,0.0714,0.0139,0.00037,113459.0,42.0,3.0,13113.0
Glascock,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,2995.0,0.0,0.0,13125.0
Hancock,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,8348.0,0.0,0.0,13141.0
Cook,2020-03-30 19:07:00,0.0,0.0,6.0,0.0,0.0003,6e-05,17162.0,1.0,0.0,13075.0
Colquitt,2020-03-30 19:07:00,0.0,0.0,15.0,0.0,0.0023,0.00015,45592.0,7.0,0.0,13071.0
Baker,2020-03-30 19:07:00,100.0,32.0,32.0,1.0,0.0003,0.00032,3092.0,1.0,1.0,13007.0
Baldwin,2020-03-30 19:07:00,33.0,2.0,7.0,0.3333,0.001,7e-05,44823.0,3.0,1.0,13009.0
Banks,2020-03-30 19:07:00,0.0,0.0,5.0,0.0,0.0003,5e-05,18988.0,1.0,0.0,13011.0
Barrow,2020-03-30 19:07:00,22.0,2.0,11.0,0.2222,0.003,0.00011,80809.0,9.0,2.0,13013.0
Bartow,2020-03-30 19:07:00,1.0,1.0,117.0,0.008,0.0412,0.00117,106408.0,125.0,1.0,13015.0
Ben Hill,2020-03-30 19:07:00,0.0,0.0,18.0,0.0,0.001,0.00018,16787.0,3.0,0.0,13017.0
Berrien,2020-03-30 19:07:00,0.0,0.0,5.0,0.0,0.0003,5e-05,19252.0,1.0,0.0,13019.0
Bibb,2020-03-30 19:07:00,0.0,0.0,10.0,0.0,0.0053,0.0001,153095.0,16.0,0.0,13021.0
Bleckley,2020-03-30 19:07:00,0.0,0.0,8.0,0.0,0.0003,8e-05,12838.0,1.0,0.0,13023.0
Brantley,2020-03-30 19:07:00,0.0,0.0,0.0,0.0,0.0,0.0,18897.0,0.0,0.0,13025.0
Brooks,2020-03-30 19:07:00,0.0,0.0,6.0,0.0,0.0003,6e-05,15513.0,1.0,0.0,13027.0
Bryan,2020-03-30 19:07:00,0.0,0.0,18.0,0.0,0.0023,0.00018,38109.0,7.0,0.0,13029.0
Bulloch,2020-03-30 19:07:00,0.0,0.0,1.0,0.0,0.0003,1e-05,77296.0,1.0,0.0,13031.0
Burke,2020-03-30 19:07:00,0.0,0.0,18.0,0.0,0.0013,0.00018,22423.0,4.0,0.0,13033.0
Butts,2020-03-30 19:07:00,0.0,0.0,25.0,0.0,0.002,0.00025,24193.0,6.0,0.0,13035.0
Calhoun,2020-03-30 19:07:00,0.0,0.0,94.0,0.0,0.002,0.00094,6352.0,6.0,0.0,13037.0
Camden,2020-03-30 19:07:00,0.0,0.0,7.0,0.0,0.0013,7e-05,53677.0,4.0,0.0,13039.0
Coffee,2020-03-30 19:07:00,0.0,0.0,23.0,0.0,0.0033,0.00023,43093.0,10.0,0.0,13069.0
Cobb,2020-03-30 19:07:00,4.0,1.0,33.0,0.044,0.0825,0.00033,756865.0,250.0,11.0,13067.0
Clinch,2020-03-30 19:07:00,0.0,0.0,15.0,0.0,0.0003,0.00015,6648.0,1.0,0.0,13065.0
Clayton,2020-03-30 19:07:00,3.0,1.0,21.0,0.0323,0.0204,0.00021,289615.0,62.0,2.0,13063.0
Clay,2020-03-30 19:07:00,0.0,0.0,35.0,0.0,0.0003,0.00035,2887.0,1.0,0.0,13061.0
Clarke,2020-03-30 19:07:00,11.0,4.0,37.0,0.1064,0.0155,0.00037,127330.0,47.0,5.0,13059.0
Columbia,2020-03-30 19:07:00,0.0,0.0,9.0,0.0,0.0046,9e-05,154291.0,14.0,0.0,13073.0
Cherokee,2020-03-30 19:07:00,1.0,0.0,27.0,0.0145,0.0228,0.00027,254149.0,69.0,1.0,13057.0
Chattahoochee,2020-03-30 19:07:00,0.0,0.0,9.0,0.0,0.0003,9e-05,10684.0,1.0,0.0,13053.0
Chatham,2020-03-30 19:07:00,11.0,1.0,7.0,0.1053,0.0063,7e-05,289195.0,19.0,2.0,13051.0
Charlton,2020-03-30 19:07:00,0.0,0.0,8.0,0.0,0.0003,8e-05,12968.0,1.0,0.0,13049.0
Catoosa,2020-03-30 19:07:00,0.0,0.0,4.0,0.0,0.001,4e-05,67420.0,3.0,0.0,13047.0
